Слово,TF-IDF
градус,12.818409149620887
место,10.378137076805208
ноябрь,9.998571264173929
метр,9.32619800639344
снег,9.246731822972466
дом,9.085313377126706
район,9.01461994614858
секунда,9.002492924997549
температура,8.71697999274635
работа,8.564899547498563
ветер,7.724379689890067
человек,7.544529131009987
проект,7.209710104789635
прессслужба,6.984122170430464
ной,6.8822396278484295
ребенок,6.780635900124952
сообщение,6.737088388652789
ремонт,6.665196352119683
новый,6.415567990221468
компания,6.415334327909072
региональный,6.405342331551578
ожидаться,6.194637864427689
тгу,6.171893612090738
данные,6.121473543558828
центр,6.08999147156696
дорога,6.04597154778384
небольшой,5.856195869509664
сайт,5.761488700885693
сказать,5.512621026548588
декабрь,5.359020528799622
говориться,5.351619181061087
школа,5.176487336753458
первый,5.04113334321665
nan,5.0
получать,4.97229447746575
слово,4.703144988077627
мочь,4.61684956556793
порыв,4.604984832653197
студент,4.573337174010419
среда,4.553540742597034
пятница,4.545576886691985
депутат,4.443113726794453
осадки,4.396530849621333
югозападный,4.384735060784601
строительство,4.343781111456131
проходить,4.32902288611909
проспект,4.292690505479716
планироваться,4.236867711775603
вторник,4.234585876762836
сотрудник,4.134663052553971
участок,4.118885158993253
работать,4.052014282420317
четверг,4.042941973263505
становиться,4.010632483222044
телеграмканал,3.9896963304366015
средство,3.987312276273789
уточняться,3.9523383488611934
программа,3.936633193677932
площадь,3.8834951123881822
вода,3.8324316665266482
составлять,3.8227010951629037
суд,3.802162603085092
объект,3.7958765071828915
устанавливать,3.772434684890821
возможный,3.768547494141849
семья,3.7660688466144405
информация,3.745777980617223
рф,3.7383628510574316
плюс,3.7353935218519645
большой,3.7198296285799026
автомобиль,3.6751657364928416
часть,3.66035974855934
воздух,3.640720454230378
происходить,3.6280185985412436
гидрометцентр,3.616052612008841
житель,3.584834087764913
дума,3.5514537163899584
вуз,3.5386451315135883
понедельник,3.5241968220793285
власть,3.4824189271368278
университет,3.4576739792995657
сибирский,3.44516777359392
представитель,3.4258524501247485
уточнять,3.4200883334193817
губернатор,3.411253264889747
конец,3.3935691938810617
дело,3.3896279548022195
ооо,3.3673487308548253
движение,3.3419986623042877
добавляться,3.3075889042504096
отмечать,3.295521485502424
здание,3.2838870046298148
организация,3.277644922449613
результат,3.2655613944977375
территория,3.235259550396768
система,3.2277723665057603
должный,3.220101641805656
наш,3.20706750958402
изза,3.176412568953342
второй,3.176389652605498
полиция,3.1705162384613907
развитие,3.152636576558896
нацпроект,3.151216599863181
планировать,3.138987031515644
мероприятие,3.129872064901402
суббота,3.128955312035534
миллиард,3.116867368546361
рабочий,3.1068505644264564
принимать,3.1053365211402704
ленин,3.0894824740152336
участие,3.0812733902034766
специалист,3.0704449626246872
подрядчик,3.0285458900251756
гололедица,3.028244595355731
октябрь,3.026864918009274
пять,3.023701370466752
участник,2.999879910342058
фрунзе,2.999811581237149
пробка,2.989285612506078
технология,2.9848483497964278
мост,2.9790665223436883
областной,2.968648319304355
рамка,2.96210580762969
комсомольский,2.946096405678391
тракт,2.939964657804876
настоящий,2.933054923929838
конкурс,2.919888911551409
бизнес,2.916334714049352
направлять,2.914366297134048
октябрьский,2.910475129453957
фонд,2.9069588276649463
число,2.9062529192403277
директор,2.9060615714688627
стоимость,2.896801511638184
городской,2.8841315465850883
связь,2.8494752876002623
воскресение,2.8354169489539194
синоптик,2.8315425718418634
данный,2.819257796471954
умвд,2.7931628781776587
деньги,2.7680895209968943
декада,2.765303013063767
начинать,2.76263634951642
вечер,2.7439789362297726
возможность,2.740632151711912
оставаться,2.732347156699017
появляться,2.7282737999874516
мокрый,2.7259885250837543
вид,2.724748473609183
момент,2.714085869950704
авария,2.7123501777066257
отделение,2.701742668488589
находиться,2.69248066326263
управление,2.691320634223425
сеть,2.688935221229163
помощь,2.688005012545317
общий,2.6798948096909765
владимир,2.671394133260909
вакансия,2.6712883356876156
труд,2.6653271969093857
срок,2.6509262210462
счет,2.641854456065455
следовать,2.6361089475878567
идти,2.6310995057825757
пройти,2.629040750415207
страна,2.623607477179852
помогать,2.623421984824452
выполнять,2.6133452199097147
контракт,2.609180184813401
поступать,2.609046546806951
площадка,2.6021854521741896
глава,2.6012616213625472
являться,2.589296113019465
сентябрь,2.575601299265003
театр,2.56129269585242
самый,2.544152918977983
федеральный,2.538230444749804
утро,2.531387314523714
прояснение,2.5170189086249986
государственный,2.5154304097611053
предприятие,2.508567331017076
собеседница,2.486318051994652
начало,2.4817446211268175
цифровой,2.481299475476214
дмитрий,2.475061998888622
микрорайон,2.470409015898294
фестиваль,2.457278116592665
достигать,2.4558580914047003
период,2.445445468179833
умеренный,2.4426410031024504
пояснять,2.4307106624570514
сфера,2.4202090868933874
встреча,2.4076280589734913
культура,2.3952214366001896
пушкин,2.390990885104793
гражданин,2.388997501232066
условие,2.3846245166377833
производство,2.3820126844258094
ск,2.3418135340767945
сумма,2.3382845541506128
отряд,2.3382799185904175
образование,2.333771964415744
собака,2.3328252780482632
несколько,2.3255145968138096
дека,2.3208642083572464
смочь,2.31761081486114
ученый,2.316454363997421
группа,2.3120131203815912
транспорт,2.3107239799518653
деятельность,2.3004547702172653
случай,2.2969197590727557
социальный,2.2851466223793255
направление,2.2802323455919518
пост,2.279918948169303
начинаться,2.273778338987565
язык,2.2729517351986717
выступать,2.267790551308476
исследование,2.2585555217508855
жилье,2.2517560838226576
исторический,2.2514829379248082
мужчина,2.248788228007927
новособорный,2.247707224800503
существенный,2.2332276778304223
переулок,2.227808056496081
занятость,2.2263932826791106
открывать,2.2174854442129273
андрей,2.2158011520764433
ночь,2.202332977163251
количество,2.2015482236071677
хороший,2.1997416365252094
входить,2.186013224756813
позволять,2.184979199324779
дорожный,2.18408994374485
происшествие,2.1831624152575486
деревянный,2.1735920961568373
уголовный,2.1734653598265026
ноль,2.1696985362007943
разный,2.15630037413452
отмечаться,2.1556344356186172
очень,2.1510884628340703
прогнозировать,2.1469719159565774
никита,2.135375512723552
создавать,2.1317873889437124
ставка,2.130946681200532
диаметр,2.122601590637439
последний,2.1218375024275145
банк,2.115045505758478
томскводоканал,2.1059116840121446
цена,2.1050183134316582
высокий,2.1037378926962402
вырастать,2.099185288308722
находить,2.092500493619656
мэр,2.081705594182726
завершать,2.081029785362839
кроме,2.0802863973208026
ситуация,2.078809942797276
предлагать,2.0783311909363604
поселок,2.077556159574108
жизнь,2.0698094005925927
начальник,2.064765895351525
голец,2.0616646448761746
российский,2.0592772929050716
сервис,2.0592591036257843
выходить,2.054205433242623
статья,2.0501712662159255
основной,2.0452303564325907
облдепартамент,2.042291903237198
дтп,2.0389952210895035
пострадать,2.0270140733270345
качество,2.0241172564644776
музей,2.0225674305104473
возбуждать,2.0185536434111104
служба,2.0147984787913416
северск,2.014527245583179
телефон,2.00929434636469
кадровый,2.0036219584251915
праздник,2.00208854284013
ход,2.001930902684121
махиня,1.9944394091766724
мальчик,1.9925157473819324
руководитель,1.991417088214914
передавать,1.9906527684058701
каждый,1.9878813828030373
эксперт,1.9790479417633327
курс,1.9767583535843678
открытый,1.9752918659608172
учреждение,1.9724929894731618
главный,1.9717267710992195
проверка,1.9716594056401422
разработка,1.9701750445668043
транспортный,1.9623446621881555
благоустройство,1.9617704258920166
предоставлять,1.9493448399975744
детский,1.9484417588752554
четыре,1.9482662011803453
средний,1.939038630185775
медицинский,1.9345155712094253
госуниверситет,1.931069903538683
новогодний,1.9253226981252094
переход,1.9226940580196767
заявка,1.9197717897387163
этап,1.9176231501782555
январь,1.9059210324104863
цель,1.9057418032404465
мчс,1.9046527820872794
животное,1.8953315371839432
выделять,1.8879951297343303
сделать,1.8836981917662377
собирать,1.8815639898830674
работодатель,1.8746136650491119
поселение,1.8717743873984658
искусственный,1.870803563493088
километр,1.8700725421273643
план,1.8658437983541662
доход,1.862578434483526
иметь,1.861854661938225
село,1.8606095368995201
го,1.858821573914148
образовываться,1.856577396740352
иркутский,1.8471512749515566
аварийный,1.845797124668854
холодный,1.8454072843298572
объем,1.8450701757164598
проезд,1.8448894126132072
уборка,1.84485188411108
открытие,1.8377637124834958
действие,1.8304440950736343
представлять,1.8278132396407512
состояние,1.8271374891445988
третий,1.8260134686593203
обучение,1.821090909647777
задача,1.8201159572268009
сторона,1.8054934986901763
ожидать,1.8049908695855517
реализация,1.803538997746835
озеро,1.8020363911334476
материал,1.802034036291926
линия,1.8014132627803203
лишение,1.8013758339600754
пока,1.7976255723489858
цитироваться,1.7969333505289322
рынок,1.785842790899189
наука,1.785728634465665
квартира,1.7842341480257506
просить,1.7840946122051093
пожар,1.781794938033604
обладминистрация,1.7801003653054799
парк,1.778775210267901
заниматься,1.7778204034759044
уровень,1.7761913802038052
водоснабжение,1.7727677848695
следующий,1.7684339391232349
обращаться,1.767721436257301
очередь,1.7659215005871312
поддержка,1.7619851156866588
полномочие,1.7588238953043998
сибирь,1.7499114243339273
водопровод,1.7497425866496128
елизаров,1.7402132849087806
включать,1.7400002576859266
собрание,1.7357931734021053
проводиться,1.7353573523968073
охрана,1.7325066755097855
председатель,1.7319483559031845
инвалид,1.730098905097257
подготовка,1.729983963320722
погибать,1.7264074323191485
образовательный,1.715413635834209
отдельный,1.7109625819950125
отношение,1.7089092345987893
лекция,1.708398899652435
ссылка,1.699307507372129
ледовый,1.6970033045920494
сегодня,1.6929293157637195
северный,1.6907941225760175
облачный,1.6887891913513604
торговый,1.6882345485141164
давать,1.685248718003381
белый,1.6851052516591183
аренда,1.6828162896511003
говорить,1.6825645366118238
общественный,1.6821907389855453
современный,1.6764129550647178
построить,1.674289970334287
акция,1.6724328339951227
предложение,1.6649236682394963
дополнительный,1.6628115450411693
нарушение,1.6592195396297575
мать,1.6587504747229236
ао,1.6578100571380623
запускать,1.6539970844504648
проблема,1.6516877038362847
пациент,1.6500061742478254
запланировать,1.6497656167894361
рост,1.6467282870939812
ук,1.6459389234043023
крупный,1.6412106955951893
пропадать,1.6411997553992494
участвовать,1.6393494769886394
решать,1.638602998574358
узбекистан,1.6377417188004604
предел,1.637204169731348
всероссийский,1.6340947844381042
свобода,1.63181297611583
порядок,1.6269516714963081
следствие,1.6263422944483574
южный,1.6246013111380293
облачность,1.6220469796771917
переменный,1.6220469796771917
разрабатывать,1.6216751058205023
кладбище,1.6183742093303441
источник,1.616319841894281
техника,1.6137267624461007
обращение,1.6134083585970957
сергей,1.6113124653399742
восстанавливать,1.6083212068312607
лицо,1.6072206899316042
располагать,1.606237804332503
например,1.5977078108131664
неделя,1.5974133106611488
заместитель,1.5891725082655352
поэтому,1.582630210984424
причина,1.582612698885496
связанный,1.580036076933852
история,1.5790206703795928
норма,1.5767628167109962
мир,1.574515310796716
предварительный,1.574445837900616
химический,1.5733815969751423
мама,1.5730351393612578
ведомство,1.5699003626565886
собеседник,1.567884418557338
база,1.5652988152528977
документ,1.5650328294921148
размер,1.5636060436604393
сильный,1.561818988799348
путь,1.5588313922372077
поиск,1.5588095136055662
итог,1.5561436216528308
красноармейский,1.5544072268749882
представительница,1.5498713338363224
занимать,1.548679822360796
безопасность,1.5389148999225195
китайский,1.5383310096572584
состояться,1.5381784710234339
маршрут,1.537641235093883
гордума,1.536135766223643
женщина,1.535413193904322
районный,1.5344906575146422
александр,1.5344036903867788
повышение,1.5312778724834308
показывать,1.5309313870012808
адрес,1.5301207777841586
олимпиада,1.529312259413026
народный,1.5279676113571454
мороз,1.5241703858023308
преступление,1.5223388180889679
орган,1.5203783738877237
завершаться,1.5190152446454284
оборудование,1.5181210264222198
больница,1.516719982172995
различный,1.5122438119967292
устранять,1.510998327582184
объявлять,1.5097333463562181
население,1.5031779657539963
жилой,1.5026382959642934
книга,1.4993712873041825
оценка,1.4959339996861276
зал,1.4943364192447457
режим,1.4930360117906525
продукция,1.4890114051154204
научный,1.488935397597561
среди,1.4841719242344469
подчеркивать,1.4812716125582635
магазин,1.4810635404805297
облпрокуратура,1.4801889166291904
местный,1.47475368388109
концерт,1.4726301145950282
термометр,1.4724602725405618
столбик,1.4724602725405618
покупка,1.4683816020695526
явление,1.4679646799539907
русский,1.4627202651989244
нужно,1.4624428705027401
вклад,1.4619835617177832
отдел,1.4609781684696355
девять,1.4606947674041841
национальный,1.4503748385684645
заммэра,1.4453422046445314
сотрудничество,1.443983149724592
интеллект,1.442410924481073
ограничение,1.4406534212126128
гис,1.4373839342758772
повреждение,1.4354027739371094
хозяйство,1.4351050023883176
пункт,1.4349280137214515
клиент,1.4338825219255416
штраф,1.4336971456711765
прогнозироваться,1.433113303518732
сибагро,1.432699674299864
заболевание,1.4312246605845536
прогноз,1.4294810064306689
частность,1.4261308381382898
вестись,1.422798392597079
поликлиника,1.4208249365590695
пространство,1.4146344946029956
зона,1.4123508501556825
комплекс,1.4111079535007989
этаж,1.4098532911203214
текущий,1.4078371424097242
прошлый,1.4038154029878631
проведение,1.403353524060097
речь,1.4014803467241026
номинация,1.4013088704510581
май,1.3998184906606959
институт,1.398845363641127
колпашево,1.3979688973698696
товар,1.3976569057184605
водитель,1.397039809171026
большинство,1.3955641810615882
сезон,1.3937102639129757
усов,1.392337224078164
услуга,1.3922649896545523
партнер,1.3919259333198375
мандат,1.3892630675616657
николай,1.3891928844412187
обсуждать,1.385457091628349
отремонтировать,1.384696738016396
поездка,1.3841214034793554
видеть,1.379116652989584
соцсеть,1.3765515040325706
создание,1.374959013597242
предусматривать,1.371817050604893
отключение,1.36759931940413
муниципальный,1.365114405893923
тема,1.3629122117320827
однако,1.3619756919026602
продолжаться,1.3599315913498216
девочка,1.3578848124466203
внимание,1.35604998175213
скульптура,1.3557256227025027
необходимый,1.3549145894968564
ниже,1.3543794123085922
стоять,1.3537863980138511
дождь,1.3489933256705247
попадать,1.3476630258087186
продолжать,1.3476271961662865
течение,1.346103403249082
комиссия,1.3440459435359522
совершать,1.3415962914786022
одежда,1.339969023041983
миллиметр,1.3399684693548048
препарат,1.3379280653559575
шесть,1.3373342062022722
глебович,1.3368573146726832
подавать,1.3352706406721604
международный,1.3337397763403038
доля,1.3326103291675164
ущерб,1.327616139133134
незаконный,1.3178576954364611
вместе,1.3173897509024672
согласно,1.315724117008406
каток,1.3134842605542372
выполнение,1.3118210734529039
рано,1.3111233810433762
троллейбус,1.308289622358744
схема,1.3067349788426275
заседание,1.3048781465698223
реклама,1.302698908840381
центральный,1.2980756521470818
балл,1.294149779626413
дата,1.2932783019121088
учет,1.2932520124759959
писать,1.2907106043005563
право,1.2899190454070348
ряд,1.285977236804982
команда,1.2848477829963323
юговосточный,1.2831065777025548
вести,1.283048116576636
поддерживать,1.2816867910266048
обнаруживать,1.2811317110978337
часто,1.2778906165683122
карта,1.2775333849057808
порывистый,1.2773409725540914
обновлять,1.2768140093674962
молодежь,1.2755719665238667
светлана,1.2755076552616351
кабинет,1.275153209591024
проверять,1.2717790894121164
действовать,1.268450351101275
сила,1.2678770496060248
заключать,1.2669541163043323
молодой,1.2665760277078495
договор,1.266505508019196
предупреждение,1.2654922027512794
оперативный,1.263567542781995
